site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept,slope m/20y
#392414100541201,level,decreasing,True,6.340237668212012e-09,-5.807526876481298,-0.9473684210526315,-180,950.0,-0.2495454545454546,-38.67931818181818,-19.96363636363637
#392713101074901,level,decreasing,True,8.474900488053549e-07,-4.924101124010706,-0.8562091503267973,-131,697.0,-0.2049999999999998,-14.8125,-16.39999999999998
#393104100221201,level,decreasing,True,2.212382042032779e-05,-4.242302506839994,-0.738562091503268,-113,697.0,-0.116,-11.059,-9.280000000000001
#393144101084301,level,decreasing,True,4.706124361320008e-07,-5.037922285497501,-0.847953216374269,-145,817.0,-0.125,-49.465,-10.0
#393207100451301,level,decreasing,True,1.139910228431518e-07,-5.302878133549991,-0.9215686274509803,-141,697.0,-0.09666666666666639,-28.25583333333334,-7.733333333333311
#393329101172201,level,decreasing,True,3.768488967104133e-06,-4.623758331086788,-0.7777777777777778,-133,815.0,-0.1693750000000001,-53.135625,-13.55
#393429101550401,level,decreasing,True,7.505330357204798e-08,-5.378633535457849,-0.934640522875817,-143,697.0,-0.2146666666666666,-62.10533333333333,-17.17333333333333
#393610100341701,level,no trend,False,0.1654314530761274,1.387033811130632,0.1606606606606606,107,5840.333333333333,0.025,-5.095,2.0
#393719101505501,level,decreasing,True,3.225195059908259e-06,-4.655931279393132,-0.783625730994152,-134,816.0,-0.3543333333333322,-70.73100000000001,-28.34666666666658
#393738101132801,level,decreasing,True,4.519975560279832e-06,-4.585917275191732,-0.7719298245614035,-132,816.0,-0.05750000000000011,-45.0525,-4.600000000000009
#394607101495502,level,no trend,False,0.08518552224779818,1.721359976523322,0.2842105263157895,54,948.0,0.01875,-3.403125,1.5
#394612101323501,level,decreasing,True,8.636119064320269e-08,-5.353306897315163,-0.8736842105263158,-166,950.0,-0.0980294117647065,-69.76372058823529,-7.84235294117652
#394619101281101,level,decreasing,True,1.755442362583182e-07,-5.223529760410553,-0.8526315789473684,-162,950.0,-0.2364285714285711,-67.24392857142857,-18.91428571428569
#394740101175601,level,decreasing,True,2.890011474576681e-08,-5.547972602672079,-0.9052631578947369,-172,950.0,-0.1387105263157894,-61.46225,-11.09684210526315
#395619101375202,level,increasing,True,0.02058403572825296,2.315528334903426,0.4052287581699346,62,694.0,0.01714285714285713,-3.895714285714285,1.37142857142857
#400155101521302,level,increasing,True,0.001320191345786537,3.211554047748698,0.2449367088607595,774,57933.33333333334,0.008659586783637851,-6.478405206859572,0.6927669426910281
#401626097210701,level,decreasing,True,0.0005288663824978279,-3.465693207969324,-0.5847953216374269,-100,816.0,-0.0674999999999999,-22.6175,-5.399999999999991
